prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
64,0,1,512,27.639
64,0,1,1024,44.295
64,0,1,2048,76.891
64,0,2,0,13.017
64,0,2,64,13.041
64,0,2,128,13.632
64,0,2,256,16.154
64,0,2,512,20.09
64,0,2,1024,28.236
64,0,2,2048,44.893
64,0,4,0,13.079
64,0,4,64,13.079
64,0,4,128,13.084
64,0,4,256,13.64
64,0,4,512,16.125
64,0,4,1024,20.114
64,0,4,2048,28.448
64,0,8,0,13.276
64,0,8,64,13.276
64,0,8,128,13.3
64,0,8,256,13.34
64,0,8,512,14.183
64,0,8,1024,16.201
64,0,8,2048,20.85
64,0,16,0,15.26
64,0,16,64,15.262
64,0,16,128,15.298
64,0,16,256,15.416
64,0,16,512,15.576
64,0,16,1024,16.087
64,0,16,2048,20.359
64,0,32,0,20.239
64,0,32,64,21.738
64,0,32,128,21.773
64,0,32,256,21.842
64,0,32,512,21.89
64,0,32,1024,22.098
64,0,32,2048,23.624
64,0,64,0,9.832
64,0,64,64,31.481
64,0,64,128,34.158
64,0,64,256,34.173
64,0,64,512,34.175
64,0,64,1024,34.335
64,0,64,2048,34.592
64,0,128,0,9.82
64,0,128,64,9.817
64,0,128,128,57.015
64,0,128,256,56.997
64,0,128,512,56.925
64,0,128,1024,56.948
64,0,128,2048,57.303
64,0,256,0,9.922
64,0,256,64,9.916
64,0,256,128,9.935
64,0,256,256,101.13
64,0,256,512,102.469
64,0,256,1024,102.689
64,0,256,2048,102.885
64,64,0,0,6.616
64,64,0,64,6.616
64,64,0,128,6.616
64,64,0,256,6.616
64,64,0,512,6.616
64,64,0,1024,6.616
64,64,0,2048,6.616
64,64,1,0,13.245
64,64,1,64,13.269
64,64,1,128,15.162
64,64,1,256,19.231
64,64,1,512,27.643
64,64,1,1024,44.299
64,64,1,2048,76.895
64,64,2,0,13.021
64,64,2,64,13.045
64,64,2,128,13.636
64,64,2,256,16.158
64,64,2,512,20.094
64,64,2,1024,28.24
64,64,2,2048,44.897
64,64,4,0,13.083
64,64,4,64,13.083
64,64,4,128,13.088
64,64,4,256,13.644
64,64,4,512,16.129
64,64,4,1024,20.118
64,64,4,2048,28.452
64,64,8,0,13.28
64,64,8,64,13.28
64,64,8,128,13.304
64,64,8,256,13.344
64,64,8,512,14.187
64,64,8,1024,16.205
64,64,8,2048,20.854
64,64,16,0,15.264
64,64,16,64,15.266
64,64,16,128,15.302
64,64,16,256,15.42
64,64,16,512,15.58
64,64,16,1024,16.091
64,64,16,2048,20.363
64,64,32,0,20.243
64,64,32,64,21.742
64,64,32,128,21.777
64,64,32,256,21.846
64,64,32,512,21.894
64,64,32,1024,22.102
64,64,32,2048,23.628
64,64,64,0,9.836
64,64,64,64,31.485
64,64,64,128,34.162
64,64,64,256,34.177
64,64,64,512,34.179
64,64,64,1024,34.339
64,64,64,2048,34.596
64,64,128,0,9.824
64,64,128,64,9.821
64,64,128,128,57.019
64,64,128,256,57.001
64,64,128,512,56.929
64,64,128,1024,56.952
64,64,128,2048,57.307
64,64,256,0,9.926
64,64,256,64,9.92
64,64,256,128,9.939
64,64,256,256,101.134
64,64,256,512,102.473
64,64,256,1024,102.693
64,64,256,2048,102.889
64,128,0,0,8.849
64,128,0,64,8.849
64,128,0,128,8.849
64,128,0,256,8.849
64,128,0,512,8.849
64,128,0,1024,8.849
64,128,0,2048,8.849
64,128,1,0,15.478
64,128,1,64,15.502
64,128,1,128,17.395
64,128,1,256,21.464
64,128,1,512,29.876
64,128,1,1024,46.532
64,128,1,2048,79.128
64,128,2,0,15.254
64,128,2,64,15.278
64,128,2,128,15.869
64,128,2,256,18.391
64,128,2,512,22.327
64,128,2,1024,30.473
64,128,2,2048,47.13
64,128,4,0,15.316
64,128,4,64,15.316
64,128,4,128,15.321
64,128,4,256,15.877
64,128,4,512,18.362
64,128,4,1024,22.351
64,128,4,2048,30.685
64,128,8,0,15.513
64,128,8,64,15.513
64,128,8,128,15.537
64,128,8,256,15.577
64,128,8,512,16.42
64,128,8,1024,18.438
